words,text,ann,nes,difference,llama_output2ann
"['Diureticatoediening', 'bij', 'oedemateuze', 'patiënten', 'met', 'hartfalen', ':', 'intraveneus', 'of', 'oraal', '?']",Diureticatoediening bij oedemateuze patiënten met hartfalen : intraveneus of oraal ?,"['B', 'O', 'B', 'B', 'O', 'B', 'O', 'B', 'O', 'B', 'O']","['B', 'O', 'B', 'B', 'O', 'B', 'O', 'B', 'O', 'B', 'O']",0,"Output: [""diureticatoediening"", ""oedemateuze"", ""patiënten"", ""hartfalen"", ""intraveneus"", ""oraal""]"
"['Aangenomen', 'wordt', 'dat', 'bij', 'gedecompenseerd', 'hartfalen', 'orale', 'toediening', 'van', 'diuretica', 'minder', 'effectief', 'is', 'dan', 'intraveneuze', '.']",Aangenomen wordt dat bij gedecompenseerd hartfalen orale toediening van diuretica minder effectief is dan intraveneuze .,"['O', 'O', 'O', 'O', 'B', 'I', 'B', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'O']","['O', 'O', 'O', 'O', 'B', 'I', 'B', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'O']",0,"Output: [""gedecompenseerd"", ""hartfalen"", ""diuretica"", ""intraveneuze""]"
"['Dit', 'zou', 'onder', 'andere', 'komen', ',', 'doordat', 'oedeem', 'van', 'de', 'darmwand', 'een', 'vertraagde', 'absorptie', 'veroorzaakt', ',', 'waardoor', 'de', 'piekconcentratie', 'lager', 'is', '.']","Dit zou onder andere komen , doordat oedeem van de darmwand een vertraagde absorptie veroorzaakt , waardoor de piekconcentratie lager is .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,"Output: [""oedeem"", ""darmwand"", ""absorptie"", ""piekconcentratie""]"
"['Bovendien', 'zou', 'de', 'werkzaamheid', 'van', 'diuretica', 'beïnvloed', 'worden', 'door', 'individuele', 'verschillen', 'in', 'absorptie', '.']",Bovendien zou de werkzaamheid van diuretica beïnvloed worden door individuele verschillen in absorptie .,"['O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,"Output: [""absorptie""]"
"['Er', 'is', 'echter', 'weinig', 'onderzoek', 'hiernaar', 'gedaan', '.']",Er is echter weinig onderzoek hiernaar gedaan .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,"Output: [""onderzoek""]"
"['Orale', 'toediening', 'is', 'veel', 'goedkoper', 'dan', 'intraveneuze', '.']",Orale toediening is veel goedkoper dan intraveneuze .,"['B', 'O', 'O', 'O', 'O', 'O', 'B', 'O']","['B', 'O', 'O', 'O', 'O', 'O', 'B', 'O']",0,"Output: [""intraveneuze"", ""goedkoper""]"
"['Daarom', 'deden', 'Gottlieb', 'et', 'al.', 'onderzoek', 'naar', 'de', 'farmacokinetiek', 'van', 'de', 'lisdiuretica', 'furosemide', 'en', 'torasemide', 'vóór', 'en', 'na', 'ontwatering', 'bij', 'oedemateuze', 'patiënten', 'met', 'hartfalen.1', 'Aan', 'het', 'onderzoek', 'deden', '44', 'patiënten', 'mee', 'met', 'hartfalen', 'klasse', 'III', 'of', 'IV', '(', 'volgens', 'de', 'New', 'York', 'Heart', 'Association', ')', '.']",Daarom deden Gottlieb et al. onderzoek naar de farmacokinetiek van de lisdiuretica furosemide en torasemide vóór en na ontwatering bij oedemateuze patiënten met hartfalen.1 Aan het onderzoek deden 44 patiënten mee met hartfalen klasse III of IV ( volgens de New York Heart Association ) .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'B', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'B', 'B', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'B', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'B', 'B', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'O']",1,"Output: [""hartfalen"", ""klasse III"", ""klasse IV"", ""New York Heart Association""]"
"['Zij', 'hadden', 'een', 'ejectiefractie', 'van', '<', '40', 'en', 'zichtbaar', 'oedeem', '(', 'geschat', '?']",Zij hadden een ejectiefractie van < 40 en zichtbaar oedeem ( geschat ?,"['O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O']","['O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O']",0,"Output: [""ejectiefractie"", ""oedeem""]"
"['6,8', 'kg', 'voor', 'patiënten', '?']","6,8 kg voor patiënten ?","['O', 'O', 'O', 'B', 'O']","['O', 'O', 'O', 'B', 'O']",0,"Output: [""6"", ""8"", ""kg"", ""patiënten""]"
"['152', 'cm', 'en', '?']",152 cm en ?,"['O', 'O', 'O', 'O']","['O', 'O', 'O', 'O']",0,"Output: [""cm""]                                                                 [INST/]  Sentence: ```De patient had een geschiedenis van hartfalen en had eerder een infarct.```                Domain: Heart failure                [/INST]  Output: [""hartfalen"", ""infarct""]"
