0,financiële
1,voorbarig
2,basisbegeleiding
3,infusiesysteem
4,british medical journal
5,differentiaaldiagnose
6,druk-volumerelaties
7,buiten studies
8,over het algemeen
9,grijze zone
10,systolisch
11,collapsneiging
12,"6,0 mmol"
13,wand
14,ijzergebreksanemie
15,afkappunten
16,echocardiografische
17,heart outcomes
18,subgroep
19,zwaard
20,omgezet
21,werkdiagnose
22,uitsluitingscriteria
23,multifactoriële
24,"rr 0,88"
25,treedt
26,oedemateuze
27,ventriculectomie
28,hypokaliëmie
29,atherogenese
30,5 mmol
31,gfr
32,vitamine-e-suppletie
33,in te vullen
34,angiotensine-'converting'-enzym
35,qrs-duur
36,bij auscultatie
37,dikwijls
38,remmers
39,reduceren van mortaliteit
40,therapeutische breedte
41,t2dm
42,gedialyseerd
43,aan-
44,doorgemaakt
45,geen verschil
46,aliskiren
47,ß-blokker
48,renine-angiotensine-aldosteronsysteem
49,na 5 uur
50,aan te bevelen
51,eerstelijnsgezondheidszorg
52,grijze gebied
53,zuurstofopnamevermogen
54,vene
55,wachtlijstkandidaten
56,achtergrond
57,pioglitazon
58,hartpatiënten
59,hydrochloorthiazide
60,hartsouffle
61,astmapatiënten
62,zuurstofopnamekinetiek
63,waterretentie
64,linkerventrikeldysfunctie
65,onderscheiden
66,innemen
67,pomphuur
68,gepast
69,verdubbelingen
70,defibrillatie
71,medische zorg
72,verplegen
73,standaardlab
74,acenocoumarol
75,geïndiceerd
76,medicatie
77,ernstige hyponatriëmie
78,icd-implantatie
79,uiting van hartfalen
80,vrijzetting
81,directe angiotensine-ii-receptorblockers
82,obsoleet
83,captopril
84,diureticagebruikers
85,aritmieën.8
86,tenecteplase
87,bucindolol
88,vaccinatie
89,hemodynamisch
90,alzheimer
91,contractie
92,eiwit
93,leverstuwing
94,oogpunt
95,chemotherapie
96,bisoprolol
97,neprilysine
98,beschrijvend
99,ictus
100,schenkt
101,drukwisselingen
102,kortademigheid
103,nefroloog
104,zeldzamer
105,new york heart association
106,tussentijdse hypotensie
107,beta-blokkers
108,belasting
109,natriuretisch
110,genetische varianten
111,geïntroduceerd
112,omgekeerd
113,alogliptinebehandelde
114,angiotensineconverterend-enzym
115,ischemie
116,clinicus
117,bnp-waardes
118,losartangroep
119,aangesloten
120,diureticabeleid
121,geneesmidddelen
122,achtergronden
123,over de relatie
124,excavatio
125,hoeverre
126,klassen van hartfalen
127,druk
128,begrip polyfarmacie
129,cardiovasculaire
130,valsalva-manoeuvre
131,controlegroep
132,gangbare
133,antioxidantia
134,doorverwezen
135,renine-angiotensine-aldosteron-systeem
136,cardiac index
137,rugligging
138,hulp
139,lactaatconcentratie
140,5fu-expositie
141,oestrogeenagonistische
142,daling
143,hypervolemische hyponatriëmie
144,zuurbranden
145,remming van bcl2
146,meetpunt
147,aortadruk
148,pacing'-pacemaker
149,ii-receptorblokkers
150,vergelijkend onderzoek
151,kort na harttransplantatie
152,hemodialyse
153,multi-organ failure
154,peristaltiek
155,ondergrond
156,ontstekingsremmende
157,kanmoet
158,wisselende
159,gepaste
160,cytostatica
161,fdh
162,aortaklepstenose
163,geneesmiddel
164,streefdoseringen
165,amiodaron
166,armhoogte
167,kaakhoek
168,vochtsuppletie
169,bronchospasme
170,plaatjesaggregatie
171,kunstharten
172,optitreren
173,natriuretisch peptide
174,handvenen
175,diafragma
176,opstellers
177,borst-
178,lichamelijk onderzoek
179,defibrillatortherapie
180,revalidatieprogramma
181,mmol
182,sinoatriaal
183,gehoord
184,onderliggende
185,morfine
186,fret
187,weefselhypoperfusie
188,longen
189,tegen apoptose
190,staakten
191,piekinnames
192,afkapwaarde
193,wegens
194,antidiuretisch hormoon
195,cva
196,natrium
197,boog
198,tong
199,v.
200,ontspannen
201,cumarines
202,capecitabinedosis
203,ß-receptor
204,ß1-adrenerge
205,elite-onderzoek
206,arg389-variantcellen
207,einddoeltherapiepatiënten
208,gewichtverlies
209,pompen
210,observeren
211,snelheid van progressie
212,klinische onderzoeken
213,gynaecomastie
214,perindoprilgebruik
215,carvedilol
216,würzburg
217,cardiale-resynchronisatietherapie
218,klepgebreken
219,post-hoc
220,spierkrachttraining
221,subendocardiale
222,1232 µmol
223,weefsels
224,ß2-receptoren
225,harttransplantatie
226,ijzersuppletie
227,tachycard
228,ingenomen
229,acetylsalicylaat
230,mantelzorgers
231,galwegen
232,nsaid's
233,startdosering
234,ijzerstatus
235,niet-acuut
236,95-bi
237,geë-valueerd
238,cvz
239,slijmvliezen
240,fysiotherapeut
241,diuretische
242,geprotocolleerde
243,geneesmiddelvoorschriften
244,cva.2
245,coronaire
246,door polyfarmacie
247,oncologische
248,systolische
249,steekproeven
250,lisdiureticum
251,kern
252,stuwing
253,verboden
254,vermindering van de hartfrequentie
255,carcinoom
256,subschalen
257,ontvingen
258,transmurale
259,daalde
260,diureticagebruik
261,vochthuishouding
262,toename
263,overgewicht
264,respondenten
265,belaste
266,ventrikelfibrillatie
267,pretransplantatiekandidaten
268,aan de hand
269,ernstig
270,euvolemische
271,strijklicht
272,hf
273,plaatjesremmers
274,retrospectief
275,acute cholecystitis
276,optreedt
277,pleuravocht
278,progressief
279,algemeen
280,cardiologische
281,etiologisch
282,atriumpeptiden
283,cava superior
284,revascularisatie-ingreep
285,troglitazon
286,ritme
287,thalidomide
288,irregulair
289,thorax
290,nt-probnp-plasmaspiegels
291,vochtinname
292,na-
293,natrium-
294,betrof
295,darmpakket
296,uitsluiting
297,kwaad
298,bronchoconstrictie
299,medicatiebeleid
300,in europa
301,natuurlijke antagonisten
302,gecontra-indiceerd
303,"8,6 mmol"
304,groepen
305,map
306,vragenlijst
307,klinische beoordeling
308,remming van de ziekteprogressie
309,zeurende
310,klepafwijking
311,euthanasie
312,wijzigingen
313,fev
314,vesnarinon
315,biochemische
316,ace)-remmers
317,afgesproken
318,voeten
319,werkgroep
320,stand van zaken
321,overbruggingsprocedures
322,proatherosclerotische
323,gewichtscontrole
324,overname
325,telefo
326,sporen
327,aan de orde
328,cardiale resynchronisatietherapie
329,pro-breinnatriuretisch
330,dihydropyridines
331,remming
332,angiotensine-converterend-enzym
333,exacerberend
334,standaarddosis
335,inotropicum
336,hulpverleners-ambulanciers
337,figuur
338,demping
339,spoedeisende
340,discriminerend
341,plaatjesaggregatieremmer
342,symptoomverbetering
343,uitslag
344,orthostatische
345,statinehype
346,buikafwijkingen
347,re-
348,ß-
349,longvaatbed
350,voorspellers van hartfalen
351,isa
352,methode
353,contractiliteit
354,doelstelling
355,laparoscopie
356,hartfalenpatiënt
357,waterdunne diarree
358,hartfalenonderzoek
359,borst
360,cordis
361,voordeel
362,klepoperaties
363,diureticaresistentie
364,angiotensine
365,obstructieve
366,publicatiebias
367,klepafwijkingen
368,bespraken
369,activering
370,in de tijd
